id,name,catalog,desc,gain,use,propetype,pic,
818,有柄石韦,（水龙骨科）,多年生草本，高6~17cm。附生于石头上或树干上。根状茎横生，木质，密被棕褐色卵状披针形鳞片，边缘有锯齿；叶革质，疏生，叶片长披针形，背面有灰褐色星状毛。孢子叶柄远长于叶片，营养叶柄与叶等长。孢子囊群成熟时布满叶片背面；孢子囊呈圆的两面型，无盖，隐没于星状毛中。生于山地裸露岩石上或岩石缝内阴溼处。分布于我国东北、华北、西北、西南和长江中下游各省区。,全年均可采收。除去根茎及根，晒干或阴干。,全草入药，中药名为「石韦」。微寒、苦、甘。利尿通淋，清热止血。用于热淋，血淋，石淋，小便不通，淋漓涩痛，吐血，衄血，尿血，崩漏，肺热喘咳。,,.\pic\med\有柄石韦_1.jpeg,2026/3/27 7:43
819,华北石韦,（水龙骨科）,多年生草本，高达25cm。根茎细瘦，被黑褐色鳞片。叶柄被星状毛；叶片线形或线状披针形，先端渐尖，基部渐狭，上面绿色，有细点，疏被白色星状毛或无毛，下面密被灰色或淡褐色星芒状毛①；叶稍内卷，但不呈筒状。孢子囊群多散生于叶下面的较上部分，深褐色，无囊群盖。生于海拔300~1800m的岩石上。分布于辽宁、内蒙古、河北等地。,全年均可采收。除去根茎及根，晒干或阴干。,全草入药，中药名为「石韦」。微寒，苦、甘。利尿通淋，清热止血。用于热淋，血淋，石淋，小便不通，淋漓涩痛，吐血，衄血，尿血，崩漏，肺热喘咳。,,.\pic\med\华北石韦_1.jpeg,2026/3/27 7:43
820,地肤子,（藜科）,一年生草本，高达1.5m。茎直立，多分枝，绿色，秋季常变为红色，幼枝有白柔毛。叶互生，无柄，狭披针形至线状披针形，全缘，上面绿色，无毛，下面淡绿色，无毛或有短柔毛，幼叶边缘有白色长柔毛，其后逐渐脱落。花1朵或数朵生于叶腋，成穗状花序，花小，黄绿色①，花被筒状，先端5齿裂，裂片三角形，向内弯曲，包裹子房。胞果扁圆形，基部有宿存花被，展开成5枝横生的翅。种子1枚，扁球形，黑色。生于山野荒地、田野、路旁，亦有栽培品。主产于江苏、山东、河南、河北等省。,秋季果实成熟时采收植株，晒干，打下果实，除去杂质。,果实入药，中药名为「地肤子」。甘、苦，寒。利小便，清溼热。用于小便不利，淋病，带下，疝气，风疹，疮毒，疥癣，阴部溼痒。,,.\pic\med\地肤子_1.jpeg,2026/3/27 7:43
821,诸葛菜,（十字花科）,二年生草本，高20~70cm。茎直立，光滑，具白色粉霜。基生叶近圆形，边缘有不整齐的粗锯齿，茎丫部叶羽状分裂，顶生叶肾形或三角状卵形。总状花序顶生，深紫色或浅紫色①，花瓣倒卵形，成十字排列，具长爪。角果长条形，种子黑褐色，卵形。生于山地、平原、路边、地边或杂木林林缘。产于我国东北、华北及华东地区。,3~4月采集全草，晒干。,全草入药。平，甘、辛。解毒消肿，下气消食，利尿除溼。用于乳痈、小儿头疮疖肿、秃疮、黄疸、腹胀、便祕、小便黄赤自不通、肝虚目略等。,嫩茎叶可食用。种子是很好的油料植物。,.\pic\med\诸葛菜_1.jpeg,2026/3/27 7:43
822,活血丹,（脣形科）,多年生草本，高10~20cm。具匍匐茎，节上生根。茎四稜形，叶对生，心形或近肾形，被毛。轮伞花序，通常2朵花；花冠淡蓝色至紫色①，二脣形，上脣2裂，下脣3裂具深色斑点；雄蕊4枚内藏。小坚果4枚，长卵圆形。生于林缘、疏林下、草地中、溪边等阴溼处。除西北、内蒙古外、全国各地均产。,4~5月开花时采收全草。晒干。,全草入药，中药名为「连钱草」。辛、微苦，微寒。除溼退黄，利尿通淋，解毒消肿。用于溼热黄疸，风溼骨痛，石淋热淋，水肿，恶疮肿毒，毒蛇咬伤，跌打损伤。,,.\pic\med\活血丹_1.jpeg,2026/3/27 7:43
823,达乌里芯芭,（玄蔘科）,多年生草本，高1~2m。全株密被白色绒毛而呈银灰白色。叶对生，披针形或线状披针形，先端渐尖，两面被白色丝状柔毛。花生于叶腋短枝上，1~4朵，花冠黄色，二脣形，外被白色柔毛①。蒴果革质。生于小山坡向阳处。分布于我国黑龙江、内蒙古、河北等地，俄罗斯（西伯利亚）、蒙古也有分布。,夏、秋季采收，切段，晒干。,全草入药，中药名为「大黄花」。微苦，凉。归肝、肾、脾经。祛风除溼，利尿消肿，凉血止血。用于痺证、双下肢水肿、黄水疱、月经过多、吐血、衄血、便血、外伤出血等症。,,.\pic\med\达乌里芯芭_1.jpeg,2026/3/27 7:43
824,黄秋葵,（锦葵科）,一年生草本，高1~2.5m。根系发达，直根，主茎直立，基部节间较短，有侧枝，自花节位起不发生侧枝。叶掌状5裂，互生，叶身有绒毛或刚毛，叶柄细长，中空。花大，单生，淡黄色①，着生于叶腋。蒴果，先端细尖，略有弯曲，形似羊角②，果面覆有细密白色绒毛，果实成熟后木质化不可食。种子球形，绿豆大小，淡黑色，外皮粗，被细毛。生于山坡灌木丛中，溪边。原产于非洲、埃及等地，现世界各国均有分布。,秋季挖取根部。洗净，切片晒干。,根入药。甘、淡，寒，归肾、胃经。利咽，通淋，下乳，调经。用于咽喉肿痛，小便淋涩，产后乳汁稀少，月经不调。叶、花、种子也可入药。,,.\pic\med\黄秋葵_1.jpeg,2026/3/27 7:43
825,含羞草,（豆科）,多年生草本，高约40cm。遍体散生倒刺毛和锐刺。叶为2回羽状复叶，掌状排列①，长圆形，边缘及叶脉有刺毛。头状花序长圆形，2~3个生于叶腋；花淡红色②；花萼锺状，花瓣4；雄蕊4；子房无毛。荚果扁平，边缘有刺毛③，有3~4荚节，每荚节有1颗种子。生于山坡丛林中及路旁的潮溼地。分布于我国华东、华南、西南等省区。,夏、秋季采收，去净杂草，洗净，切段，晒干或鲜用。,甘、涩，凉。有小毒。具有清热利尿、化痰止咳、安神止痛、解毒、散瘀、止血、收敛等功效。用于感冒，小儿高热，急性结膜炎，支气管炎，胃炎，肠炎，泌尿系结石，疟疾，神经衰弱；外用治跌打肿痛，疮疡肿毒，咯血，带状疱疹。,,.\pic\med\含羞草_1.jpeg,2026/3/27 7:43
826,萱草,（百合科）,多年生草本，高60~80cm。叶基生，条状披针形，花葶圆柱形，圆锥花序顶生，具花5~6朵；苞片小，披针形；花被橙色或橙红色，下部成管，上部裂片6，2轮①，内轮裂片较外轮为宽，中部有暗红色「∧」形斑纹，雄蕊6，子房上位，蒴果矩圆形。生于富含腐殖质、排水良好的溼润土壤，适应性强。我国南北各省均产。,夏、秋季采挖，除去残茎、须根，洗净泥土，晒干。,根入药。甘，凉。有毒。清热利尿，凉血止血。用于腮腺炎，黄疸，膀胱炎，尿血，小便不利，乳汁缺乏，月经不调，衄血，便血。外用治乳腺炎。,,.\pic\med\萱草_1.jpeg,2026/3/27 7:43
827,蜀葵,（锦葵科）,二年生草本，高达3m。茎直立，具星状簇毛。叶互生，圆形至圆卵形，先端圆钝，基部心形①，通常具3~7浅裂，边缘具不整齐的钝齿，两面均有星状毛。花单生于叶腋，小苞片7~8，基部连合，较萼为短，花萼圆杯状，5裂，裂片三角形，密被星状绒毛，花冠紫红色、淡红色或白色，花瓣5，倒卵形，先端边缘具不规则的齿裂②，雄蕊多数，花丝结合成一圆柱体，花葯密集其上，子房多室，心皮轮状排列，花柱上部分裂。果实扁球形。生于田边、路旁及荒野地段，耐寒、喜阳、耐半阴、忌涝。原产于我国四川，现广泛分布于我国华东、华中、华北等地。,春、秋季采根，晒干切片；夏季采花，阴干；花前采叶；秋季采种子，晒干。,以根、叶、花、种子入药。①根：清热，解毒，排脓，利尿。用于肠炎，痢疾，尿道感染，小便赤痛，子宫颈炎，白带。种子：利尿通淋。用于尿路结石，小便不利，水肿。②花：通利大小便，解毒散结。用于大小便不利，梅核气，并解河豚毒。③叶：外用治痈肿疮疡，烧烫伤。,,.\pic\med\蜀葵_1.jpeg,2026/3/27 7:43
828,粉背薯蓣,（薯蓣科）,"缠绕草质藤本。根状茎横生，竹节状，长短不一，表面着生细长弯曲的须根，断面黄色。叶为三角形或卵圆形。花单性，雌雄异株。雄蕊3枚，着生于花被管上，花丝较短，花葯卵圆形,雌花序穗状；子房长圆柱形，柱头3裂。蒴果三稜形，顶端稍宽，基部稍狭，表面栗褐色，富有光泽；种子2枚，着生于中轴中部，成熟时四周有薄膜状翅。花期5~8月，果期6~10月。分布于我国河南南部、安徽南部、浙江、福建、台湾北部、江西、湖北、湖南、广东北部、广西东北部。",秋、冬两季采挖，除去须根，洗净，切片，晒干。,根茎入药，中药名为「粉萆薢」。苦，平。利溼去浊，祛风除痺。用于膏淋，白浊，白带过多，风溼痺痛，关节不利，腰膝疼痛。,,.\pic\med\粉背薯蓣_1.jpeg,2026/3/27 7:43
829,绵萆薢,（薯蓣科）,缠绕草质藤本。根状茎横生，圆柱形，粗大。单叶互生，表面绿色，背面灰白色；花单性，雌雄异株；花被基部连合成管，顶端6裂，裂片披针形，花开时平展；雄蕊6枚，着生于花被基部，3枚花葯较大，3枚较小。雌花序与雄花序相似；退化雄蕊有时呈花丝状。蒴果三稜形，每稜翅状；种子通常2枚，着生于每室中轴中部，成熟后四周有薄膜状翅，上下较宽，两侧较狭。花期6~8月，果期7~10月。生于海拔200~1300m的山腰陡坡、山谷缓坡或水沟边阴处的混交林边缘或疏林下。分布于我国浙江、福建、江西、湖北西南部、湖南、广东北部、广西东部。,秋、冬两季采挖，除去须根，洗净，切片，晒干。,根茎入药，中药名为「绵萆薢」。苦，平。利溼去浊，祛风除痺。用于膏淋，白浊，白带过多，风溼痺痛，关节不利，腰膝疼痛。,,.\pic\med\绵萆薢_1.jpeg,2026/3/27 7:43
830,萹蓄,（蓼科）,一年生草本。茎具纵稜。叶椭圆形，顶端钝圆或急尖，基部楔形，边缘全缘，两面无毛，下面侧脉明显；叶柄短或近无柄，基部具关节；托叶鞘膜质①，下部褐色，上部白色，撕裂脉明显。花单生或数朵簇生于叶腋，遍布于植株；花被5深裂②，花被片椭圆形，绿色，边缘白色或淡红色；雄蕊8枚，花丝基部扩充套件；花柱3裂，柱头头状。瘦果卵形，具3稜，黑褐色，密被由小点组成的细条纹，无光泽，与宿存花被近等长或稍超过。花期5~7月，果期6~8月。生于田边路、沟边溼地。分布于全国各地。,夏季叶茂盛时采收，除去根和杂质，晒干。,地上部分入药，中药名为「萹蓄」。苦，微寒。利尿通淋，杀虫，止痒。用于热淋涩痛，小便短赤，虫积腹痛，面板溼疹，阴痒带下。,,.\pic\med\萹蓄_1.jpeg,2026/3/27 7:43
831,车前,（车前科）,两年生或多年生草本。须根多数。根茎短，稍粗。叶基生呈莲座状①；叶片薄纸质或纸质，宽卵形至宽椭圆形；基部扩大呈鞘，疏生短柔毛。花序3~10个，直立或弓曲上升；花具短梗；萼片先端钝圆或钝尖，龙骨突不延至顶端，前对萼片椭圆形，龙骨突较宽，两侧片稍不对称，后对萼片宽倒卵状椭圆形或宽倒卵形。花冠白色②。雄蕊着生于冠筒内面近基部，与花柱明显外伸。蒴果纺锤状卵形、卵球形或圆锥状卵形。种子卵状椭圆形或椭圆形，具角，黑褐色至黑色，背腹面微隆起。花期4~8月，果期6~9月。生于山野、路旁、花圃或菜园、河边溼地，分布于全国大部分地区。,夏、秋两季种子成熟时采收果穗，晒干，搓出种子，除去杂质。,"①全草入药，中药名为「车前草」。甘，寒。清热利尿通淋，祛痰，凉血，解毒。用于热淋涩痛，水肿尿少，暑溼泄泻，痰热咳嗽，吐血衄血，痈肿疮毒。②种子入药，中药名为「车前子」。甘,寒。清热利尿通淋，渗溼止泻，明目，祛痰。用于热淋涩痛，水肿胀满，暑溼泄泻，目赤肿痛，痰热咳嗽。",,.\pic\med\车前_1.jpeg,2026/3/27 7:43
832,平车前,（车前科）,一年生或两年生草本。直根长，具多数侧根，多少肉质。根茎短。叶基生呈莲座状，平卧、斜展或直立。穗状花序细圆柱状①，上部密集，基部常间断。花萼无毛，龙骨突宽厚，不延至顶端，前对萼片狭倒卵状椭圆形至宽椭圆形，后对萼片倒卵状椭圆形至宽椭圆形。花冠白色。雄蕊着生于冠筒内面近顶端，同花柱明显外伸。蒴果卵状椭圆形至圆锥状卵形。种子4~5粒，椭圆形，腹面平坦，黄褐色至黑色。花期5~7月，果期7~9月。生于海拔1800m以下的山坡田埂和河边，分布于全国大部分地区。,夏、秋两季种子成熟时采收果穗，晒干，搓出种子，除去杂质。,"①全草入药，中药名为「车前草」。甘，寒。清热利尿通淋，祛痰，凉血，解毒。用于热淋涩痛，水肿尿少，暑溼泄泻，痰热咳嗽，吐血衄血，痈肿疮毒。②种子入药，中药名为「车前子」。甘,寒。清热利尿通淋，渗溼止泻，明目，祛痰。用于热淋涩痛，水肿胀满，暑溼泄泻，目赤肿痛，痰热咳嗽。",,.\pic\med\平车前_1.jpeg,2026/3/27 7:43
833,灯心草,（灯心草科）,多年生草本；根状茎粗壮横走。茎丛生，直立，茎内充满白色的髓心。叶全部为低出叶，包围在茎的基部，基部红褐至黑褐色；叶片退化为刺芒状。聚伞花序假侧生，含多花①，排列紧密或疏散；总苞片圆柱形，生于顶端，似茎的延伸，直立，顶端尖锐；雄蕊3枚（偶有6枚），长约为花被片的2/3；雌蕊具3室子房；花柱极短；柱头3分叉。蒴果长圆形或卵形，顶端钝或微凹，黄褐色。种子卵状长圆形，黄褐色。花期4~7月，果期6~9月。生于海拔1650~3400m的河边、池旁、水沟，稻田旁、草地及沼泽溼处，分布于全国大部分地区。,"夏末至秋季割取茎，晒干，取出茎髓，理直,扎成小把。","茎髓入药，中药名为「灯心草」。甘、淡,微寒。清心火，利小便。用于心烦失眠，尿少涩痛，口舌生疮。",,.\pic\med\灯心草_1.jpeg,2026/3/27 7:43
834,冬葵,（锦葵科）,一年生草本；不分枝，茎被柔毛。叶圆形，基部心形，裂片三角状圆形，边缘具细锯齿，并极皱缩扭曲①；叶柄瘦弱，疏被柔毛。花小，白色，单生或几个簇生于叶腋，近无花梗至具极短梗；小苞片3，披针形，长4~5mm，宽1mm，疏被糙伏毛；萼浅杯状，5裂，长8~10mm，裂片三角形，疏被星状柔毛；花瓣5枚，较萼片略长。果扁球形，网状，具细柔毛；种子肾形，暗黑色。花期6~9月。生于平原、山野等处，分布于我国湖南、四川、贵州、云南、江西、甘肃等省。,夏、秋两季果实成熟时采收，除去杂质，阴干。,果实入药，中药名为「冬葵子」。甘、涩、凉。清热利尿，消肿。用于尿闭，水肿，口渴。,,.\pic\med\冬葵_1.jpeg,2026/3/27 7:43
835,海金沙,（海金沙科）,多年生攀援草本。根茎细而匍匐，被细柔毛。茎细弱，呈干草色，有白色微毛。叶为1~2回羽状复叶，纸质，两面均被细柔毛；能育羽片卵状三角形，小叶卵状披针形，边缘有温齿或不规则分裂，上部小叶无柄，羽状或戟形，下部小叶有柄；不育羽片尖三角形，通常与能育羽片相似，但有时为1回羽状复叶，小叶阔线形，或基部分裂成不规则的小片。孢子囊生于能育羽片的背面，在2回小叶的齿及裂片顶端成穗状排列①，孢子囊盖鳞片状，卵形。生于阴溼山坡灌丛中或路边林缘，分布于江苏、浙江、安徽南部、福建、台湾、广东、香港、广西、湖南、贵州、四川、云南、陕西南部。,秋季孢子未脱落时采割藤叶，晒干，搓揉或打下孢子，除去藤叶。,孢子入药，中药名为「海金沙」。甘、咸，寒。清利溼热，通淋止痛。用于热淋，石淋，血淋，膏淋，尿道涩痛。,,.\pic\med\海金沙_1.jpeg,2026/3/27 7:43
836,石竹,（石竹科）,多年生草本，全株无毛。茎由根茎生出，疏丛生，直立，上部分枝。叶片线状披针形，全缘或有细小齿，中脉较显。花单生枝端或数花整合聚伞花序；花梗长1~3cm；花萼圆筒形，有纵条纹，萼齿披针形，直伸，顶端尖，有缘毛；花瓣片倒卵状三角形，紫红色、粉红色、鲜红色或白色；雄蕊露出喉部外，花葯蓝色；子房长圆形，花柱线形。蒴果圆筒形，包于宿存萼内，顶端4裂；种子黑色，扁圆形。花期5~6月，果期7~9月。生于草原和山坡草地，原产我国北方，现在南北普遍生长。,夏、秋两季花果期采割，除去杂质，干燥。,地上部分入药，中药名为「瞿麦」。苦，寒。利尿通淋，活血通经。用于热淋，血淋，石淋，小便不通，淋沥涩痛，经闭瘀阻。,,.\pic\med\石竹_1.jpeg,2026/3/27 7:43
837,瞿麦,（石竹科）,多年生草本，高50~60cm。茎丛生，直立，绿色，无毛，上部分枝。叶片线状披针形，顶端锐尖，中脉特显，基部合生呈鞘状，绿色，有时带粉绿色。花1或2朵生枝端，有时顶下腋生；苞片2~3对，倒卵形；花萼圆筒形，萼齿披针形；花瓣包于萼筒内，瓣片宽倒卵形，通常淡红色或带紫色，稀白色，喉部具丝毛状鳞片；雄蕊和花柱微外露。蒴果圆筒形，与宿存萼等长或微长，顶端4裂；种子扁卵圆形，黑色，有光泽。花期6~9月，果期8~10月。生于海拔400~3700m丘陵山地疏林下、林缘、草甸、沟谷、溪地。分布于东北、华北、西北及山东、江苏、浙江、江西、河南、湖北、四川、贵州、新疆。,夏、秋两季花果期采割，除去杂质，干燥。,地上部分入药，中药名为「瞿麦」。苦，寒。利尿通淋，活血通经。用于热淋，血淋，石淋，小便不通，淋沥涩痛，经闭瘀阻。,,.\pic\med\瞿麦_1.jpeg,2026/3/27 7:43
838,通脱木,（五加科）,灌木，高可达6m。茎木质而不坚，中有白色的髓，幼时呈片状，老则渐次充实，幼枝密被星状毛，或稍具脱落性灰黄色绒毛。叶大，通常聚生于茎的上部，掌状分裂①，下面有白色星状绒毛；叶柄粗壮，长30~50cm；托叶2枚，大形，膜质，披针状凿形，基部鞘状抱茎。花小，有柄，多数球状伞形花序排列成大圆锥花丛②；花瓣4枚，白色，卵形，头锐尖；雄蕊4枚；花盘微凸；核果状浆果近球形而扁，外果皮肉质，硬而脆。花期8月，果期9月。通常生于向阳肥厚的土壤上，有时栽培于庭园中，海拔自数十米至2800m，分布广。,秋季割取茎，截成段，趁鲜取出髓部，理直，晒干。,茎髓入药，中药名为「通草」。甘、淡，微寒。清热利尿，通气下乳。用于溼热淋证，水肿尿少，乳汁不下。,,.\pic\med\通脱木_1.jpeg,2026/3/27 7:43
839,庐山石韦,（水龙骨科）,植株通常高20~50cm。根状茎粗壮，横卧，密被线状棕色鳞片，鳞片长渐尖头，边缘具睫毛，着生处近褐色。叶柄粗壮，基部密被鳞片，叶片椭圆状披针形，近基部处为最宽，向上渐狭，渐尖头，顶端钝圆，基部近圆截形或心形，全缘，上面淡灰绿色或淡棕色①，下面棕色，被厚层星状毛②。孢子囊群呈不规则的点状排列于侧脉间，布满基部以上的叶片下面，无盖，幼时被星状毛覆盖，成熟时孢子囊开裂而呈砖红色。生于海拔500~2290m的石上或树干上。分布于我国长江以南各省区。,全年均可采收，除去根茎和根，晒干或阴干。,地上部分入药。甘、苦，微寒。利尿通淋，清肺止咳，凉血止血。用于热淋，血淋，石淋，小便不通，淋沥涩痛，肺热喘咳，吐血，衄血，尿血，崩漏。,,.\pic\med\庐山石韦_1.jpeg,2026/3/27 7:43
840,透茎冷水花,（荨麻科）,一年生草本。茎直立，常分枝，淡绿色，肉质，有时呈透明状。叶对生；叶片菱状卵形或宽卵形，先端渐尖，基部宽楔形，两面均有线状锺乳体，边缘于基部以上有粗锯齿①。花雌雄同株、同序，有时异株；聚伞花序蝎尾状，有时呈簇生状，雄花被片2，背面近先端有短角，雄蕊2，与花被对生；雌花被片3，狭披针形，雌蕊1。瘦果扁卵形，褐色，光滑。花期8~10月，果期9~11月。生于山坡林下或沟谷旁阴溼处。除黑龙江、青海、新疆、台湾、海南、西藏外，我国各地均有分布。,夏、秋季采收，洗净，鲜用或晒干。,全草或根茎入药。甘，寒。清热，利尿，解毒。用于尿路感染，急性肾炎，子宫内膜炎，子宫脱垂，赤白带下，跌打损伤，痈肿初起，虫蛇咬伤。,,.\pic\med\透茎冷水花_1.jpeg,2026/3/27 7:43
841,金钱草,（报春花科）,多年生草本，长20~60cm。全株近无毛，叶、花萼、花冠均有黑色腺条。茎匍匐，由基部向顶端逐渐细弱呈鞭状，叶对生，宽卵形或心形①，花单生于叶腋，花萼5深裂；花冠黄色，5裂；雄蕊5，不等长，花丝基部愈合成筒。蒴果球形，有黑色短腺条纹。生于山地林缘、沟边、溪旁。分布于我国华北、华东、中南、西北、西南等地。,夏、秋季采收，除去杂质，晒干。,性微寒，味甘、咸。清热利溼，通淋，消肿。用于热淋，沙淋，尿涩作痛，黄疸尿赤，痈肿疔疮，毒蛇咬伤，肝胆结石，尿路结石 。,,.\pic\med\金钱草_1.jpeg,2026/3/27 7:43
842,虎杖,（蓼科）,粗壮草本根状茎粗大。高1~1.5m。地上茎中空，散生红色或紫红色斑点。叶阔卵形①；托叶鞘短筒状，圆锥花序；花单性异株；花被片5裂，外轮3片在果时增大，雄蕊8；花柱3，瘦果卵形，具3稜②。多生于山谷、溪旁或岸边。分布于我国中部及南部各省区。,春、秋季采挖虎杖的根及根茎，除去须根，洗净，趁鲜切短段或厚片，晒干。,微苦，微寒。祛风利溼，散瘀定痛，止咳化痰。用于关节痺痛，溼热黄疸，经闭，症瘕，咳嗽痰多，水火烫伤，跌扑损伤，痈肿疮毒。,,.\pic\med\虎杖_1.jpeg,2026/3/27 7:43
843,美人蕉,（美人蕉科）,多年生宿根草本花卉，高1~1.5m。地上茎肉质，不分枝。叶互生，宽大，长椭圆状披针形。总状花序自茎顶抽出。６~10月陆续开花。花大，有５枚瓣状退化雄蕊，其中３枚较大，颜色有鲜红、鲜红镶金边、橙黄或有橘红斑点①。我国南北各地常有栽培。原产印度。,根状茎和花入药。四季可采，鲜用或晒干。,甘、淡，凉。清热利溼，安神降压。用于黄疸型急性传染性肝炎，神经官能症，高血压病，红崩，白带；外用治跌打损伤，疮疡肿毒。,,.\pic\med\美人蕉_1.jpeg,2026/3/27 7:43
844,垂盆草,（景天科）,多年生草本。不育枝及花茎细，匍匐而节上生根，直到花序之下。3叶轮生，叶倒披针形至长圆形，长15~28mm，宽3~7mm，先端近急尖，基部急狭，有距。聚伞花序①，有3~5分枝，花少，宽5~6cm；花无梗；萼片5枚，披针形至长圆形，长3.5~5mm，先端钝，基部无距；花瓣5枚，黄色，披针形至长圆形，长5~8mm，先端有稍长的短尖；雄蕊10枚，较花瓣短；心皮5枚，长圆形，长5~6mm，略叉开，有长花柱。种子卵形，长0.5mm。花期5~7月，果期8月。生于海拔1600m以下山坡阳处或石上，分布于我国南北。,夏、秋两季采收，除去杂质，干燥。,全草入药，中药名为「垂盆草」。甘、淡，凉。利溼退黄，清热解毒。用于溼热黄疸，小便不利，痈肿疮疡。,,.\pic\med\垂盆草_1.jpeg,2026/3/27 7:43
845,广州相思子,（豆科）,攀援灌木，高1~2m。枝细直，平滑，被白色柔毛，老时脱落。羽状复叶互生①；小叶6~11对，膜质，长圆形或倒卵状长圆形，先端截形或稍凹缺，具细尖，上面被疏毛，下面被糙伏毛，叶腋两面均隆起；小叶柄短。总状花序腋生②；花梗短；花冠紫红色或淡紫色。荚果长圆形，扁平③，顶端具喙，被稀疏白色糙伏毛，成熟时浅褐色，有种子4~5粒。种子黑褐色，种阜蜡黄色，明显，中间有孔，边具长圆状环。花期8月。生于海拔约200m的疏林、灌丛或山坡，分布于湖南、广东、广西。,全年均可釆挖，除去泥沙，干燥。,全株入药，中药名为「鸡骨草」。甘、微苦，凉。利溼退黄，清热解毒，疏肝止痛。用于溼热黄疸，胁肋不舒，胃脘胀痛，乳痈肿痛。,,.\pic\med\广州相思子_1.jpeg,2026/3/27 7:43
846,茵陈蒿,（菊科）,多年生草本，高40~100cm。茎直立，木质化，表面有纵条纹，紫色，多分枝，老枝光滑，幼嫩枝被有灰白色细柔毛。营养枝上的叶，叶柄长约1.5cm，叶片2~3回羽状裂或掌状裂，小裂片线形或卵形，密被白色绢毛；花枝上的叶无柄，羽状全裂，裂片呈线形或毛管状①。头状花序多数，密整合圆锥状②；雌蕊1枚，柱头2裂，叉状；雄蕊5枚，聚葯雄蕊，先端尖尾状，基部具短尖，瘦果长圆形，无毛。花期9~10月，果期11~12月。生于低海拔地区河岸、海岸附近的溼润沙地、路旁及低山坡地区，分布于陕西、山西、安徽。此外，山东、江苏、湖北、河南、河北、四川、甘肃、福建等地亦有分布。,春季幼苗高6~10cm时采收或秋季花蕾长成至花初开时采割，除去杂质和老茎，晒干。春季采收的习称「绵茵陈」，秋季采割的称「花茵陈」。,地上部分入药，中药名为「茵陈」。苦、辛，微寒。清利溼热，利胆退黄。用于黄疸尿少，溼温暑溼，溼疮瘙痒。,,.\pic\med\茵陈蒿_1.jpeg,2026/3/27 7:43
847,滨蒿,（菊科）,一两年生多年生草本。根呈纺锤形或圆锥形，多垂直。全株幼时被灰白色绢毛，叶长圆形，长1.5~5.0cm，2或3次羽状全裂，最终裂片披针形或线形，先端尖，常被绢毛或上面较稀；中部叶长1~2cm，2次羽状全裂，基部抱茎；上部叶无柄，3裂或不裂，裂片短，毛管状。头状花序极多数，有梗，在茎的侧枝上排列成复总状花序①；总苞片形或近于形，直径1~2mm，近无毛；花杂性，均为管状花。瘦果小，长圆形或倒卵形，长约0.7mm，具纵条纹，无毛。花期8~9月，果期9~10月。遍及全国。,春季幼苗高6~10cm时采收或秋季花蕾长成至花初开时采割，除去杂质和老茎，晒干。春季采收的习称「绵茵陈」，秋季采割的称「花茵陈」。,地上部分入药，中药名为「茵陈」。苦、辛，微 寒。清利溼热，利胆退黄。用于黄疸尿少，溼温暑溼，溼疮瘙痒。,,.\pic\med\滨蒿_1.jpeg,2026/3/27 7:43
848,叶下珠,（大戟科）,一年生草本。茎直立，分枝常呈赤色，具翅状纵稜。单叶互生，排成2列，形似复叶①；叶片长椭圆形，先端尖或钝，基部圆形，下面灰绿色；叶柄短或近无柄；托叶小，尖三角形。花单性，雌雄同株，腋生，细小，赤褐色；无柄或具短柄；花萼6枚；花冠缺；雄花2~3朵聚生，雄蕊3枚，花丝基部合生，药室纵裂；雌花在叶下2列着生②，子房3室。蒴果无柄，扁圆形，赤褐色，表面有鳞状凸起物。种子三角状卵形，淡褐色，有横纹。花期7~8月。生于山野埔园田坎路旁。分布于四川、云南、湖南、贵州、广东、广西、江苏、江西、福建、浙江、安徽等地。,夏、秋间采收，晒干。,全草或带根全草入药，中药名为「珍珠草」。甘、苦，凉。平肝清热，利水解毒。主治肠炎，痢疾，传染性肝炎，肾炎水肿，尿路感染，小儿疳积，火眼目翳，口疮头疮，无名肿毒。,,.\pic\med\叶下珠_1.jpeg,2026/3/27 7:43
849,中华卷柏,（卷柏科）,植株细弱，匍匐状，长10~40cm。主茎圆柱形，茎下部叶卵状椭圆形，基部近心形，钝尖，全缘；上部叶二型，四列，侧叶长圆形或长卵形，钝尖或有短刺，基部圆楔形，边缘膜质，有细锯齿和缘毛。孢子囊穗单生枝顶，四稜柱形；孢子叶卵形、三角形，先端锐尖，边缘膜质，背部有龙骨突起；孢子囊圆肾形；大孢子囊通常少数，位于孢子囊穗的下部；小孢子囊多数，位于孢子囊穗的中上部；孢子二型。生于干旱山坡的草丛、路边、林缘。分布于东北、华北、华东。,夏、秋季采收，鲜用或晒干。,全草入药。微苦，凉。清热利尿，化痰，止血，止泻。用于溼热，小便不利，淋证，咳嗽，外伤出血，痢疾等。,,.\pic\med\中华卷柏_1.jpeg,2026/3/27 7:43
